Conference Name,Area,"Tier (A*, A, B, C)",Country,Region (US / Europe / China / Brazil / Other),Organizer / Association,Focus Areas,Submission Deadline (Exact or Empty if unknown),Notification Date,Conference Date Range,Expected Submission Month,Expected Conference Month,Date Status (Confirmed / Estimated / Rolling / Unknown),Location Type (In-person / Virtual / Hybrid),"Acceptance Rate (if known, else blank)",Website,Submission Portal,Research Tags,Industry Relevance Score (1-10),Research Impact Score (1-10),Prestige Score (1-10),Priority (P0 / P1 / P2),Notes
NeurIPS (Conference on Neural Information Processing Systems),AI/ML,A*,United States,US,Neural Information Processing Systems Foundation,Machine Learning; Deep Learning; Reinforcement Learning; Computer Vision; NLP,,2026-09-30,2026-12-06 to 2026-12-12,May,December,Estimated,In-person,,https://neurips.cc/,https://openreview.net/,Machine Learning; Deep Learning; Neural Networks,10,10,10,P0,Premier global machine learning venue.
ICML (International Conference on Machine Learning),AI/ML,A*,Austria,Europe,IMLS,Machine Learning Theory; Optimization; Deep Learning; Robotics,,2026-05-08,2026-07-12 to 2026-07-18,January,July,Estimated,In-person,,https://icml.cc/,https://openreview.net/,Machine Learning; Optimization; AI Theory,10,10,10,P0,Top-tier foundational machine learning conference.
ICLR (International Conference on Learning Representations),AI/ML,A*,Singapore,Other,ICLR Foundation,Representation Learning; Deep Learning; Generative Models; LLMs,,2026-01-25,2026-05-04 to 2026-05-08,October,May,Estimated,In-person,,https://iclr.cc/,https://openreview.net/,Deep Learning; Representation Learning; LLMs,10,10,10,P0,Primary venue for cutting-edge deep learning architectures.
CVPR (IEEE/CVF Conference on Computer Vision and Pattern Recognition),Computer Vision,A*,United States,US,IEEE / CVF,Computer Vision; Image Processing; Object Detection; Video Analysis,,2026-02-28,2026-06-15 to 2026-06-20,November,June,Estimated,In-person,,https://cvpr.thecvf.com/,https://cmt3.research.microsoft.com/,Computer Vision; Image Processing; Multimodal AI,10,10,10,P0,Highest impact publication venue across all engineering fields.
SIGCOMM (ACM Special Interest Group on Data Communication),Systems/Networks,A*,Greece,Europe,ACM SIGCOMM,Computer Networks; Distributed Systems; Network Architecture; Cloud Computing,,2026-05-15,2026-08-17 to 2026-08-21,January,August,Estimated,In-person,,https://events.sigcomm.org/sigcomm/2026/,https://hotcrp.com/,Networking; Cloud Architecture; Systems,9,10,10,P0,Ultra-selective flagship networking venue.
SOSP (ACM Symposium on Operating Systems Principles),Systems,A*,United States,US,ACM SIGOPS,Operating Systems; Distributed Systems; Storage; File Systems,,2026-07-10,2026-10-25 to 2026-10-28,March,October,Estimated,In-person,,https://sigops.org/sosp/,https://hotcrp.com/,Operating Systems; Distributed Systems; Infrastructure,9,10,10,P0,"Highest prestige operating systems venue, alternates annually with OSDI."
ACL (Annual Meeting of the Association for Computational Linguistics),NLP/AI,A*,Australia,Other,ACL,Natural Language Processing; Computational Linguistics; LLMs; Speech,,2026-05-20,2026-08-09 to 2026-08-14,January,August,Estimated,In-person,,https://www.associationforcomputationallinguistics.org/,https://openreview.net/,NLP; Computational Linguistics; Language Models,10,10,10,P0,Flagship computational linguistics and NLP domain venue.
SBRC (SimpÃ³sio Brasileiro de Redes de Computadores e Sistemas DistribuÃ­dos),Systems/Networks,A,Brazil,Brazil,SBC (Sociedade Brasileira de ComputaÃ§Ã£o),Computer Networks; Distributed Systems; Cyber Security; Cloud Edge Computing,,2026-03-15,2026-05-25 to 2026-05-29,January,May,Estimated,In-person,,https://sbrc2026.sbc.org.br/,https://submissoes.sbc.org.br/,Networks; Distributed Systems; Security,5,7,7,P2,Top national network/systems forum in Latin America.
SBBD (SimpÃ³sio Brasileiro de Bancos de Dados),Data,A,Brazil,Brazil,SBC (Sociedade Brasileira de ComputaÃ§Ã£o),Databases; Data Engineering; Big Data Analytics; Data Management,,2026-07-10,2026-10-05 to 2026-10-09,May,October,Estimated,In-person,,https://sbbd.sbc.org.br/,https://submissoes.sbc.org.br/,Databases; Data Management; Big Data,5,7,7,P2,Premier database research simposium inside Brazil.
KDD (ACM SIGKDD Conference on Knowledge Discovery and Data Mining),Data/AI,A*,China,China,ACM SIGKDD,Data Mining; Knowledge Discovery; Big Data; Recommendation Systems,,2026-05-18,2026-08-23 to 2026-08-27,February,August,Estimated,In-person,,https://kdd.org/,https://cmt3.research.microsoft.com/,Data Mining; Analytics; Recommender Systems,10,9,10,P0,Elite standard for data mining and applied industry AI pipelines.
