Program_ID;University;Program;Degree_Type;Country;City;Department;Duration;Program_Website;Research_Areas;Computer_Vision;Multimodal_AI;Foundation_Models_LLMs;Scientific_ML;Data_Centric_AI;Reinforcement_Learning;Data_Engineering_Distributed_Systems;Best_Labs;Best_Professors;Industry_Partners;Funding_Type;Funding_Description;Fully_Funded;Tuition_Per_Year_USD;Estimated_Living_Cost_Per_Month_USD;Typical_Monthly_Stipend_USD;Typical_Annual_Stipend_USD;Housing_Included;Research_Assistantship_Available;Teaching_Assistantship_Available;Industry_Funded_Thesis_Available;Net_Financial_Outcome;Admission_Probability;Competitiveness;GRE_Required;English_Requirement;Minimum_GPA_Requirement;Publications_Important;Research_Experience_Important;Contact_PI_Before_Applying;Interview_Required;Application_Opens;Priority_Deadline;Scholarship_Deadline;Funding_Deadline;Final_Application_Deadline;Recommendation_Letters_Due;Interview_Period;Admission_Results_Period;Acceptance_Deadline;Visa_Application_Start_Date;Program_Start_Date;Deadline_Status;Research_Fit_Score;Funding_Score;Prestige_Score;Industry_Opportunity_Score;Admission_Probability_Score;Overall_Score;Priority_Tier;Applying;Application_Status;Notes
PROG_001;Stanford University;Master of Science in Computer Science (MSCS);Master of Science in Computer Science;United States;Stanford;Department of Computer Science;1.5 to 2 Years (45 units);Not Found;Global epicenter for Foundation Models, Large Language Model architectures, and advanced computer vision.;Yes;Yes;Yes;Yes;No;Yes;Yes;Stanford Artificial Intelligence Laboratory (SAIL), Stanford Vision and Learning Lab (SVLL), Center for Research on Foundation Models (CRFM).;Christopher Manning (LLMs/NLP), Fei-Fei Li (Vision/Multimodal), Chelsea Finn (Reinforcement Learning/Robotics), Jure Leskovec (Graph Neural Networks).;Unmatched geographic proximity to Silicon Valley. Direct pipelines to OpenAI, Google, Meta AI, Apple, and NVIDIA. Tech companies regularly fund joint research initiatives and recruit directly through campus events.;Partially Funded / Variable.;Master’s students are not automatically funded upon admission. However, MSCS students frequently secure Research Assistantships (RA) or Teaching Assistantships (TA) after their first quarter. RAs/TAs cover full tuition and provide a monthly stipend.;No;Not Found;Not Found;1,100;Not Found;No;Yes;Yes;No;Variable;Reach;Extremely Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;Recommended;No;Not Found;Not Found;Not Found;Not Found;Early December annually (for entry the following autumn).;Not Found;Not Found;Not Found;Not Found;Not Found;September;Confirmed;9;6;10;10;4;7.8;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_002;Carnegie Mellon University;Master of Science in Computer Science (MSCS);Master of Science in Computer Science;United States;Pittsburgh;School of Computer Science (SCS);3 to 4 Semesters (16–24 months);Not Found;Widely regarded as one of the most comprehensive and academically rigorous AI research centers in the world.;Yes;Yes;Yes;Yes;No;Yes;Yes;Machine Learning Department (MLD), Robotics Institute (RI), Language Technologies Institute (LTI).;Ruslan Salakhutdinov (Deep Learning/Generative Models), Machine Learning Department faculty, Louis-Philippe Morency (Multimodal AI).;Direct engineering and research recruiting pipelines to major tech labs (Google Brain/DeepMind, Meta, Microsoft Research, Apple, and autonomous vehicle companies).;Unfunded at entry.;SCS policy explicitly states that financial aid is generally not available for professional or terminal master’s degrees upon admission. Students can look for grading or course assistant roles (TAs) to offset partial costs in later semesters, but must be prepared to self-fund initially.;No;Not Found;Not Found;25;Not Found;No;Yes;Yes;No;Variable;Reach;Extremely Competitive;Yes;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Early Deadline: Mid-November, Final Deadline: Mid-December.;Not Found;Not Found;Not Found;Not Found;Not Found;September;Confirmed;9;6;10;10;4;7.8;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_003;University of California, Berkeley;Master of Science in Computer Science;Master of Science;United States;Berkeley;Department of Electrical Engineering and Computer Sciences (EECS);2 Years;Not Found;Pioneers in Reinforcement Learning, Computer Vision, and the infrastructure requirements for scaling Large Language Models.;Yes;Yes;Yes;Yes;No;Yes;Yes;Berkeley Artificial Intelligence Research (BAIR), Real-time Intelligent Secure Execution (RISELab).;Sergey Levine (Deep RL), Alexei Efros (Vision), Trevor Darrell (Computer Vision/Multimodal), Ion Stoica (Distributed Systems/Ray).;Deep, structural integrations with major Silicon Valley firms. Foundational open-source software projects (e.g., Spark, Ray) frequently originate here and transfer directly into industry.;Fully Funded (conditional on matching).;The terminal, research-focused MS track at Berkeley is highly selective because admitted students are frequently guaranteed funding via Graduate Student Researcher (GSR) or Graduate Student Instructor (GSI) roles. These positions provide full tuition remission and a monthly stipend.;Yes;Covered / Low;Not Found;2,800;Not Found;No;Yes;Yes;Yes;Positive;Reach;Extremely Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;Recommended;No;Not Found;Not Found;Not Found;Not Found;Early December.;Not Found;Not Found;Not Found;Not Found;Not Found;September;Confirmed;9;10;10;10;4;8.6;A;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_004;Georgia Institute of Technology;Master of Science in Computer Science;Master of Science in Computer Science;United States;Atlanta;College of Computing;1.5 to 2 Years;Not Found;Massive engineering infrastructure, computer vision pipelines, optimization, and large-scale industrial deep learning applications.;Yes;Yes;No;Yes;No;No;Yes;Center for Machine Learning (ML@GT), Institute for Robotics and Intelligent Machines (IRIM).;Zsolt Kira (Computer Vision), Judy Hoffman (Computer Vision/Domain Adaptation), Dhruv Batra (Multimodal/Embodied AI).;Strong institutional ties to regional and national engineering hubs, including NCR, Microsoft Atlanta, Google Atlanta, and national labs.;Partially Funded / Opportunity-Based.;Students can compete for Graduate Teaching Assistantships (GTA) and Graduate Research Assistantships (GRA) after arrival. Getting a GRA/GTA position provides a full tuition waiver and a monthly stipend.;No;Covered / Low;Not Found;1,500;Not Found;No;Yes;Yes;No;Variable;Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;October 15 (Spring intake), February 1 (Fall intake).;Not Found;Not Found;Not Found;Not Found;Not Found;September;Confirmed;9;6;9;10;7;8.2;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_005;University of Toronto;Master of Science in Computer Science;Master of Science;Canada;Toronto;Department of Computer Science;2 Years (4 Sessions);Not Found;One of the global birthplaces of deep learning. Strong expertise in representation learning, generative modeling, and scientific computing.;Yes;Yes;No;Yes;No;No;No;Dynamic Graphics Project (DGP), Toronto AI Group, Vector Institute for Artificial Intelligence (students are eligible to be co-located or mentored by Vector scientists).;David Duvenaud (Continuous ML/SciML), Sanja Fidler (Vision/Multimodal), Jimmy Ba (Deep Learning Architectures/Optimization), Roger Grosse.;The Vector Institute acts as a major bridge to industry partners, including Google DeepMind Toronto, NVIDIA Research, Uber, and major Canadian financial institutions.;Fully Funded.;All admitted students in the MSc research program are guaranteed a funding package. The package covers full tuition fees and provides a base living stipend. It is composed of a mixture of Graduate Fellowships, Research Assistantships (RAs), and Teaching Assistantships (TAs).;Yes;Covered / Low;Not Found;22;Not Found;No;Yes;Yes;No;Positive;Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Mid-December annually.;Not Found;Not Found;Not Found;Not Found;Not Found;September;Confirmed;9;10;9;10;7;9.0;A;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_006;Université de Montréal;MSc in Computer Science / AI Specialized;Master of Science;Canada;Montreal;Department of Computer Science and Operations Research (DIRO);1.5 to 2 Years;Not Found;Global hub for deep learning, representation learning, reinforcement learning, and AI for scientific discovery (SciML).;Yes;Yes;Yes;Yes;No;Yes;Yes;Mila – Quebec Artificial Intelligence Institute (the world's largest deep learning research community).;Yoshua Bengio (AI Safety/Causality/Deep Learning), Aaron Courville (Multimodal/Generative ML), Christopher Pal (Computer Vision/Applied ML).;Mila has a massive corporate partner ecosystem. Labs from companies like Google, Microsoft, Samsung, and Meta are embedded directly within or adjacent to the facility. This creates clear pathways to internships and research engineering roles.;Fully Funded.;Students matched with a core Mila faculty advisor receive a guaranteed research stipend. This funding is drawn from professor research grants and institutional fellowships to cover tuition differential and living expenses.;Yes;Covered / Low;Not Found;26,000;Not Found;No;Yes;Yes;Yes;Positive;Target;Highly Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;Recommended;No;Not Found;Not Found;Not Found;Not Found;Early January for Fall admission. Separate registration portal with Mila must be completed by mid-December.;Not Found;Not Found;Not Found;Not Found;Not Found;September;Confirmed;9;10;9;10;7;9.0;A;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_007;ETH Zurich;Master of Science in Computer Science;Master of Science ETH in Computer Science;Switzerland;Zurich;Department of Computer Science (D-INFK);2 Years (4 Semesters, 120 ECTS);Not Found;Excellent research rankings in Europe. Strong focus on computer vision, autonomous systems, robust deep learning theory, and data-centric computing systems.;Yes;No;Yes;Yes;Yes;Yes;Yes;ETH AI Center, Computer Vision and Geometry Lab, Max Planck ETH Center for Learning Systems.;Joachim Buhmann (Information Theory/ML), Thomas Hofmann (Deep Learning/NLP), Luc Van Gool / Fisher Yu (Computer Vision).;Deep engineering ties to Zurich-based research hubs for Google (largest engineering office outside the US), Disney Research, Microsoft, and IBM Research Zurich.;Competitive Merit Scholarships / Out-of-Pocket.;Tuition fees at ETH are low (approx. CHF 1,500 per year), but local living costs are high. Exceptionally strong applicants can compete for the Excellence Scholarship & Opportunity Programme (ESOP), which covers all living and study costs (CHF 12,000 per semester). If you do not receive an ESOP, you must self-fund your first year. In the second year, students frequently secure paid teaching assistantships or industrial master's thesis placements.;No;Not Found;Not Found;1,500;Not Found;No;Yes;Yes;Yes;Variable;Target;Highly Competitive;Yes;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;Recommended;No;Not Found;Not Found;Not Found;Not Found;International application window runs from November 1 to December 15 annually.;Not Found;Not Found;Not Found;Not Found;Not Found;September;Confirmed;9;6;10;10;7;8.4;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_008;EPFL (École Polytechnique Fédérale de Lausanne);Master of Science in Computer Science / Data Science;Master of Science;Switzerland;Zurich;School of Computer and Communication Sciences (IC);2 Years (4 Semesters);Not Found;Global leaders in decentralized/distributed machine learning, optimization algorithms, and advanced multi-modal computer vision applications.;Yes;No;Yes;Yes;No;Yes;Yes;Laboratory for Automated Reasoning and Analysis (LARA), Computer Vision Laboratory (CVLAB), Machine Learning and Optimization Laboratory (MLO).;Martin Jaggi (Optimization/Distributed ML), Pascal Fua (Computer Vision), Antoine Bosselut (NLP/Language Models).;The EPFL master’s structure mandates a compulsory industrial internship or an industrial master's thesis. This ensures direct contact with companies like Logitech, Cisco, Nvidia, and local Swiss watch and data systems innovators.;Merit Scholarships / In-Program TA Support.;Like ETH, tuition fees are very low, but living costs are high. EPFL offers a limited number of Excellence Fellowships (CHF 10,000 per semester) to top applicants. If you do not receive this fellowship, you must self-fund initially. However, paid student teaching assistant (TA) positions are widely available within the IC department starting from your second semester.;No;Not Found;Not Found;10,000;Not Found;No;Yes;Yes;Yes;Variable;Target;Highly Competitive;Yes;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Two distinct windows: November 15 to December 15 (Priority) and April 15 to April 30.;Not Found;Not Found;Not Found;Not Found;Not Found;September;Confirmed;9;6;9;10;7;8.2;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_009;Technical University of Munich;Master of Science in Informatics;Master of Science;Germany;Munich;TUM School of Computation, Information and Technology;2 Years (4 Semesters);Not Found;Excellent infrastructure for computer vision, 3D deep learning, robotic perception, and scalable data engineering.;Yes;No;No;Yes;No;No;Yes;Munich Data Science Institute (MDSI), Chair for Computer Vision and Artificial Intelligence.;Daniel Cremers (Computer Vision/Mathematical Optimization), Matthias Nießner (3D Vision/Generative AI).;Munich is Germany’s technological capital. Partners include the BMW Group, Siemens, Intel, Microsoft Germany, and the Munich Center for Machine Learning (MCML), offering excellent industry placement options.;Tuition Waiver / Out-of-Pocket.;While public education in Germany was traditionally completely free, TUM charges international tuition fees (~€4,000 to €6,000 per semester depending on the program). Students must cover their own living costs. However, international students frequently fund their studies by working as Working Students (Werkstudent) in Munich’s thriving tech industry or as student assistants (HiWi) in university labs, which pays around €12-€18/hour.;No;Covered / Low;Not Found;4,000;Not Found;No;Yes;Yes;No;Variable;Target;Highly Competitive;Yes;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Main international portal open from January 1 to May 31 for Winter semester entry.;Not Found;Not Found;Not Found;Not Found;Not Found;September;Confirmed;9;6;9;10;7;8.2;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
PROG_010;University of Cambridge;Advanced Computer Science / Machine Learning MSc Tracks;Master of Philosophy;United Kingdom;Zurich;Department of Computer Science and Technology (Cambridge);Department of Computer Science (Oxford);Not Found;Excellent focus on advanced machine learning architectures, statistical learning theory, natural language understanding, and automated reasoning.;Yes;No;Yes;Yes;No;Yes;Yes;Cambridge Machine Learning Group, Oxford Automated Verification and AI Group.;Phil Blunsom (NLP/Deep Learning), Mihaela van der Schaar (ML for Medicine), Michael Wooldridge (Multi-Agent Systems).;Direct pipelines to Google DeepMind (which maintains foundational hubs in London), Microsoft Research Cambridge, and elite quant hedge funds in London (e.g., G-Research, Jane Street).;Highly Competitive Global Scholarships / Self-Funded.;UK Master’s degrees are expensive, and funding is not guaranteed upon admission. You must apply for external funding packages concurrently with admission. Main options include the Gates Cambridge Scholarship, Cambridge Trust, or the Clarendon Fund (Oxford). If you miss these competitive windows, you must fund the full program out of pocket.;No;Not Found;Not Found;Not Found;Not Found;No;Yes;Yes;No;Variable;Reach;Extremely Competitive;No;TOEFL / IELTS;Top tier / 94 clears;Yes;Y;No;No;Not Found;Not Found;Not Found;Not Found;Strict deadlines in early January annually.;Not Found;Not Found;Not Found;Not Found;Not Found;September;Confirmed;9;6;10;10;4;7.8;B;Y;Not Started;Excellent fit tailored for UFMG Computer Science track.
