University,Program,Country,Priority,Research_Fit_Score,Funding_Fit_Score,Admission_Probability,Overall_Priority_Score,Target_Professors,Research_Groups_Labs,Need_Professor_Contact,Contact_Status,Professor_Contact_Deadline,TOEFL_Required,GRE_Required,Publications_Important,Missing_Requirements,Biggest_Strengths,Biggest_Weaknesses,Recommender_1,Recommender_2,Recommender_3,Recommendation_Status,Recommendation_Request_Deadline,Application_Opens,Scholarship_Deadline,Final_Deadline,Documents_Needed,SOP_Status,CV_Status,Transcript_Status,Application_Status,Current_Readiness_Percentage,Next_Action,Next_Action_Deadline,Long_Term_Goal,Notes
University of Toronto,Master of Science in Computer Science (MSc),Canada,Dream,9.5,10.0,Reach,9.2,"Prof. Roger Grosse, Prof. David Duvenaud, Prof. Sanja Fidler","Toronto Machine Learning Group, Vector Institute",N,Not Started,Not Applicable,Yes (Minimum 93),No,Yes,None,"GPA 94/100, ACM/ISMIR peer-reviewed publications, 2.5+ years research",Extreme global competition for funded thesis slots,UFMG Advisor 1,UFMG Research Collaborator,Petrobras Project Lead,Planning,2027-10-15,2027-09-15,2027-12-01,2027-12-15,"SOP, CV, Official Transcripts, 3 LoRs, TOEFL Score",Not Started,Drafting,Not Started,Researching,35%,Draft specific research statement framing audio and distributed system synergy,2027-02-15,PhD Track or Core AI Researcher,Fully funded via Graduate Student Stipend package including tuition coverage.
Université de Montréal (Mila),M.Sc. in Computer Science - Machine Learning Focus,Canada,Dream,9.8,10.0,Reach,9.4,"Prof. Yoshua Bengio, Prof. Aaron Courville, Prof. Pascal Vincent",Mila - Quebec Artificial Intelligence Institute,Y,Not Started,2027-09-01,Yes (Minimum 90),No,Yes,None,"Sustained academic output, Multimodal/CV experience, Summer school track",Matching process with supervisors is highly resource-intensive,UFMG Advisor 1,UFMG Research Collaborator,Petrobras Project Lead,Planning,2027-10-15,2027-09-01,2027-11-01,2027-12-01,"Mila Supervisor Form, SOP, CV, Transcripts, 3 LoRs",Not Started,Drafting,Not Started,Researching,40%,Submit preliminary Mila registration portal application early,2027-03-01,Deep Learning Foundation Model Research,Requires separate matching workflow with Mila core faculty members.
University of Alberta,M.Sc. in Computing Science (Statistical Machine Learning),Canada,Reach,9.3,10.0,Strong Target,8.9,"Prof. Csaba Szepesvari, Prof. Rich Sutton, Prof. Dale Schuurmans","Amii (Alberta Machine Learning Institute), RLAI Lab",Y,Not Started,2027-09-15,Yes (Minimum 100),No,Yes,None,Strong core math foundations and proven deep learning deployment history,High volume of competitive international research applicants,UFMG Advisor 1,UFMG Research Collaborator,Petrobras Project Lead,Planning,2027-11-01,2027-09-01,2027-12-15,2028-01-15,"SOP, CV, Transcripts, 3 LoRs, TOEFL Score",Not Started,Drafting,Not Started,Researching,35%,Review recent Amii technical reports on deep reinforcement learning structures,2027-04-10,Advanced ML System Engineering,Guaranteed full funding package via teaching and research assistantships.
ETH Zurich,Master of Science in Computer Science / Data Science,Switzerland,Dream,9.6,8.5,Reach,9.1,"Prof. Thomas Hofmann, Prof. Joachim Buhmann, Prof. Ryan Cotterell","ETH AI Center, Data Analytics Lab",N,Not Started,Not Applicable,Yes (Minimum 100),Highly Recommended,Yes,GRE General Test,Perfect GPA alignment (94/100 clears historical strict thresholds),Strict credit verification regarding institutional prerequisite matching,UFMG Advisor 1,UFMG Research Collaborator,Petrobras Project Lead,Planning,2027-10-15,2027-11-01,2027-12-15,2027-12-15,"SOP, CV, Course Descriptions Document, GRE Certificate, LoRs",Not Started,Drafting,Not Started,Researching,30%,Prepare the detailed course description blueprint required for credit matching,2027-05-01,Lead Research Scientist in Europe,Must apply for the ESOP scholarship concurrently during the December window.
EPFL,Master of Science in Computer Science / Data Science,Switzerland,Dream,9.5,8.5,Reach,9.0,"Prof. Martin Jaggi, Prof. Volkan Cevher, Prof. Antoine Bosselut","Machine Learning and Optimization Laboratory (MLO), NLP Lab",N,Not Started,Not Applicable,Yes (Minimum 100),Optional,Yes,None,Excellent distributed computing exposure combined with clear academic publications,Highly selective admission matrices with limited direct funding entries,UFMG Advisor 1,UFMG Research Collaborator,Petrobras Project Lead,Planning,2027-10-01,2027-09-01,2027-12-15,2027-12-15,"SOP, CV, 3 LoRs, Official Transcripts, TOEFL Certificate",Not Started,Drafting,Not Started,Researching,35%,Draft scholarship specific statement focusing on industry collaborations,2027-06-15,Distributed Deep Learning Infrastructures,First round application deadline in December is crucial for scholarship tracks.
Georgia Institute of Technology,Master of Science in Computer Science (MSCS),United States,Reach,9.4,8.0,Strong Target,8.7,"Prof. Zsolt Kira, Prof. Dhruv Batra, Prof. Devi Parikh","Center for Machine Learning (ML@GT), Geometric Intelligence Lab",N,Not Started,Not Applicable,Yes (Minimum 100),No,Yes,None,Strong Databricks/Spark pipeline experience combined with clear research metrics,Master students must secure internal TA/RA slots post-arrival,UFMG Advisor 1,UFMG Research Collaborator,Petrobras Project Lead,Planning,2027-10-15,2027-08-01,2027-12-15,2027-12-15,"SOP, Personal Statement, CV, 3 LoRs, TOEFL scores",Not Started,Drafting,Not Started,Researching,40%,Refine personal statement draft highlighting resilience and full-stack development,2027-03-20,Machine Learning Engineer / Research Scientist,GRA/GTA positions provide full tuition waivers and standard stipends once acquired.
Saarland University,Master of Science in Computer Science / Data Science,Germany,Target,9.2,9.0,Likely,8.8,"Prof. Bernt Schiele, Prof. Mario Fritz, Prof. Dietrich Klakow","Max Planck Institute for Informatics, CISPA",N,Not Started,Not Applicable,Yes (Minimum 95),No,No,None,Deep publication record far exceeds typical admissions requirements,Formal European credit conversion mechanics for specific sub-areas,UFMG Advisor 1,UFMG Research Collaborator,Petrobras Project Lead,Planning,2027-11-15,2027-10-01,2027-11-15,2028-05-15,"Application Form, CV, SOP, Transcripts, 2 LoRs",Not Started,Drafting,Not Started,Researching,50%,Apply for early evaluation tier before November 15 to secure quick turnaround,2027-08-01,Research at Max Planck Institutes,Tuition-free program. Perfect safety/target bedrock with world-class MPI infrastructure.
University of Tübingen,Master of Science in Machine Learning,Germany,Target,9.4,9.0,Likely,8.9,"Prof. Matthias Bethge, Prof. Philipp Hennig, Prof. Ulrike von Luxburg","Tübingen AI Center, Max Planck Institute for Intelligent Systems",N,Not Started,Not Applicable,Yes (Minimum 90),No,Yes,None,Summer school pedigree and existing peer-reviewed ML conference entries,Highly rigid qualification assessment matrix based on pure ECTS counts,UFMG Advisor 1,UFMG Research Collaborator,Petrobras Project Lead,Planning,2027-11-15,2027-10-01,Not Applicable,2028-01-15,"SOP, CV, Complete Academic Transcripts, Language Certificate",Not Started,Drafting,Not Started,Researching,50%,Cross-reference completed UFMG syllabus with Tübingen's math prerequisite syllabus,2027-05-15,Computer Vision & Cognitive AI Systems,No tuition fees for research track. Strong linkage to Cyber Valley ecosystem.
Aalto University,Master of Science in Computer Science - Machine Learning Focus,Finland,Target,9.3,9.5,Likely,8.9,"Prof. Samuel Kaski, Prof. Arno Solin, Prof. Juho Kannala",FCAI (Finnish Center for Artificial Intelligence),N,Not Started,Not Applicable,Yes (Minimum 92),No,Yes,None,Perfect combination of data engineering pipelines and academic ML research,Single uniform evaluation window leaves no room for document errors,UFMG Advisor 1,UFMG Research Collaborator,Petrobras Project Lead,Planning,2027-11-01,2027-11-15,2028-01-02,2028-01-02,"SOP, CV, Degree Certificate/Expected Graduation Proof, Transcripts, LoRs",Not Started,Drafting,Not Started,Researching,45%,Verify formal expected graduation certificate layouts matching Finnish standards,2027-09-01,Probabilistic Machine Learning Architect,Full 100% tuition waiver scholarships automatically integrated into the primary application.
University of Helsinki,Master of Science in Computer Science,Finland,Safety,9.0,9.5,Target,8.6,"Prof. Hannu Toivonen, Prof. Luigi di Caro",Helsinki Institute for Information Technology (HIIT),N,Not Started,Not Applicable,Yes (Minimum 92),No,No,None,Highly robust GPA and existing international conference presentations,Relatively lower visibility of South American grade distributions,UFMG Advisor 1,UFMG Research Collaborator,Petrobras Project Lead,Planning,2027-11-01,2027-11-15,2028-01-02,2028-01-02,"SOP, CV, Transcripts, Language Certificate, Recommendation Letters",Not Started,Drafting,Not Started,Researching,50%,Incorporate multimodal data processing examples inside CV narrative,2027-08-15,Data-Centric AI Researcher,Offers full tuition waivers plus separate cost-of-living awards for high-tier students.
KU Leuven,Master of Science in Computer Science / Artificial Intelligence,Belgium,Target,9.1,8.5,Likely,8.5,"Prof. Luc De Raedt, Prof. Jesse Davis, Prof. Tinne Tuytelaars","DTAI (Declarative Languages and Artificial Intelligence), PSI Vision",N,Not Started,Not Applicable,Yes (Minimum 94),No,No,None,"Strong background in Python, SQL, C++, and industrial system integrations",Low direct master scholarship allotments for non-EU entries,UFMG Advisor 1,UFMG Research Collaborator,Petrobras Project Lead,Planning,2027-10-15,2027-10-01,2028-02-01,2028-03-01,"SOP, CV, Transcripts, 2 LoRs, TOEFL Verification",Not Started,Drafting,Not Started,Researching,45%,Draft custom Master Mind Scholarship application document,2027-09-10,Neuro-Symbolic and Full-Stack AI Pipelines,Highly regarded for statistical relational learning and advanced computer vision tracks.
University of Amsterdam,Master of Science in Artificial Intelligence,Netherlands,Reach,9.5,8.5,Strong Target,8.8,"Prof. Max Welling, Prof. Cees Snoek, Prof. Efstratios Gavves","QUVA Lab, Amsterdam Machine Learning Lab (AMLAB)",N,Not Started,Not Applicable,Yes (Minimum 100),No,Yes,None,"Exemplary match with computer vision, multimodal audio, and deep graph modeling",Extremely fast-filling cohorts require early submission metrics,UFMG Advisor 1,UFMG Research Collaborator,Petrobras Project Lead,Planning,2027-10-01,2027-10-01,2028-01-15,2028-01-15,"SOP, CV, Course Self-Assessment, 2 LoRs, TOEFL",Not Started,Drafting,Not Started,Researching,40%,Execute early portal upload to bypass Dutch peak processing blockades,2027-11-01,Generative and Multimodal AI Engineering,Apply directly for AMS (Amsterdam Excellence Scholarship) via the student portal.
Johannes Kepler University Linz,Master of Science in Artificial Intelligence,Austria,Safety,9.3,9.0,Target,8.5,"Prof. Sepp Hochreiter, Prof. Günter Klambauer","Institute for Machine Learning, Hochreiter Lab",N,Not Started,Not Applicable,Yes (Minimum 87),No,No,None,Direct experience in foundational architectures and sequence/audio modeling,Slightly manual and bureaucratic physical mail certification pipelines,UFMG Advisor 1,UFMG Research Collaborator,Petrobras Project Lead,Planning,2027-11-15,2027-09-01,Not Applicable,2028-02-05,"Legalized Transcripts, CV, SOP, English Certificate",Not Started,Drafting,Not Started,Researching,55%,Check Hague Apostille workflow requirements for Brazilian academic documents,2027-06-01,Sequence Model & Deep Transformer Analytics,Extremely low Austrian tuition fees. Home of LSTM development under Hochreiter.
