Programa,Categoria,Nível,Instituição / organização,Área / foco,Local,Formato,Duração,Applications open,Deadline,Período / data do programa,Elegível?,Requisitos / elegibilidade relevantes,Funding / benefícios,Seleção / docs relevantes,Prioridade,Status / observações,Link,Já apliquei?
UARE Winter,Research internship,Undergrad,University of Alberta,"Pesquisa acadêmica; AI/ML, engineering, energy, health etc.","Edmonton, Canadá",Presencial,12 semanas,N/A,04/08/2026,Winter 2027,Sim,Senior undergrad; requisitos específicos dependem do projeto,"CAD 6,000","CV, transcript, seleção de projetos",Alta,Edição Winter 2027 fechada,https://www.ualberta.ca/en/admissions-programs/visiting-student-and-internship-programs/research-internships/ualberta-research-experience/index.html,
UARE Summer,Research internship,Undergrad,University of Alberta,Pesquisa acadêmica; AI/ML e outras áreas,"Edmonton, Canadá",Presencial,~12 semanas,N/A,N/A,Summer 2027,Sim,Undergrad; requisitos específicos dependem do projeto,"~CAD 6,000 se mantido modelo UARE","CV, transcript, seleção de projetos",Alta,Aguardar abertura da edição Summer,https://www.ualberta.ca/en/admissions-programs/visiting-student-and-internship-programs/research-internships/ualberta-research-experience/index.html,
CERN Short-Term Internship,Internship,Undergrad,CERN,"Software, IT, data science, engineering e outras áreas técnicas","Genebra, Suíça",Presencial,1–6 meses,Rolling ,01/11/2026,Ao longo do ano,Sim,Estar matriculada em curso universitário/técnico; condições dependem da vaga,Allowance CERN,CV e informações acadêmicas,Média,Modalidade curta e flexível,https://careers.cern/jobs/short-term-internship/,
"CERN Technical Studentship – IT, Mathematics & Robotics",Studentship,Undergrad,CERN,"Computer Science, Software, Data Science, Mathematics, Robotics","Genebra, Suíça",Presencial,4–12 meses,Aberto,16/10/2026,Início ideal 01/04/2027,Sim,Estudante de CS/Math/Robotics/Engineering ou área relacionada; precisa continuar vinculada à universidade,"CHF 3,486 líquidos/mês; 30 dias de leave/ano; health insurance",CV e documentação acadêmica,Muito alta,2027-1 aberto; CERN mais alinhado a CS/ML,https://careers.cern/jobs/tsc-co/,
CERN Openlab Summer Student Programme,Summer research,Undergrad / MSc,CERN openlab,"Computing, software, HPC, data, ML","Genebra, Suíça",Presencial,~9 semanas,N/A,N/A,Summer 2027,Sim,"Normalmente Bachelor/Master em CS, matemática, engineering ou área relacionada",Allowance + viagem/support; valores 2027 N/A,"CV, transcript, referências/motivation conforme call",Alta,Aguardar call 2027,https://openlab.cern/cern-openlab-summer-student-programme/,
ETH Student Summer Research Fellowship – SSRF,Summer research fellowship,Undergrad / MSc,ETH Zürich – D-INFK,"ML, AI, security, systems, visual computing, theory etc.","Zürich, Suíça",Presencial,2 meses,01/11/2026,N/A,Jul–Aug 2027,Sim,CS ou área próxima; mínimo 2 anos completos; graduação no ano seguinte ao fellowship ou depois,Fellowship; valor 2027 N/A,Application online; histórico acadêmico; inglês suficiente,Muito alta,Applications abrem beginning of November 2026,https://inf.ethz.ch/studies/summer-research-fellowship.html,
Summer@EPFL,Summer research fellowship,Undergrad / MSc,EPFL – School of Computer and Communication Sciences,"AI/ML, NLP, CV, systems, security, theory, data etc.","Lausanne, Suíça",Presencial,2–3 meses,01/11/2026,01/12/2026,~May–Sep 2027,Sim,Estar no mínimo no 2º ano do Bachelor; continuar matriculada durante o fellowship,Fellowship mensal + travel contribution; valor 2027 N/A,"CV, transcripts, motivation letter; até 3 research domains/professors",Muito alta,Um dos melhores summer programs para AI/ML,https://summer.epfl.ch/,
EPFL E3 – Excellence in Engineering,Research internship,Undergrad / MSc,EPFL School of Engineering,Engineering + Computer Science,Lausanne / campuses EPFL,Presencial,~8–12 semanas,01/10/2026,01/11/2026,Summer 2027,Sim,International BSc/MSc em engineering/technology; Computer Science incluído,Stipend/support; valores dependem do placement,"CV, motivation, transcript, referências, escolha de labs",Alta,Programa distinto de Summer@EPFL,https://eee.epfl.ch/program-at-a-glance/,
Max Planck CS Research Internship - summer,Research internship,Undergrad / MSc,Max Planck / MPI-SWS / MPI-INF ecosystem,"CS research: ML, systems, security, algorithms etc.","Saarbrücken / Kaiserslautern, Alemanha",Presencial,~12–14 semanas típico,Rolling,01/11/2026,Summer 2027 / off-season possível,Sim,Strong undergraduate/master background; requisitos variam por lab/programa,Normalmente stipend + suporte,"CV, transcript, research interests, eventualmente referências",Muito alta,Aguardar call 2027 oficial,https://www.cis.mpg.de/internships/,
Max Planck CS Research Internship - all year,Research internship,Undergrad / MSc,Max Planck / MPI-SWS / MPI-INF ecosystem,"CS research: ML, systems, security, algorithms etc.","Saarbrücken / Kaiserslautern, Alemanha",Presencial,~12–14 semanas típico,Rolling,N/A,Summer 2027 / off-season possível,Sim,Strong undergraduate/master background; requisitos variam por lab/programa,Normalmente stipend + suporte,"CV, transcript, research interests, eventualmente referências",Muito alta,Aguardar call 2027 oficial,https://www.cis.mpg.de/internships/,
AScI International Summer Research Programme,Research internship,Undergrad / MSc,Aalto University – Aalto Science Institute (AScI),"Pesquisa acadêmica em CS, AI/ML, engineering, applied physics e áreas relacionadas; projetos específicos por grupo","Espoo / Helsinki, Finlândia",Presencial,12 semanas,07/01/2026,31/01/2026,Junho–agosto 2026,Sim,Aberto a estudantes de bachelor e master worldwide; requisitos específicos dependem do projeto; inglês suficiente,"Salário €2,000+/mês + travel bonus (€400 Europa / €800 fora da Europa) + férias pagas + auxílio para encontrar housing","CV, transcript, motivation letter, carta de recomendação, comprovação de inglês; escolha de até 3 projetos; entrevistas",Alta,Edição 2026 fechada; acompanhar Summer 2027,https://www.aalto.fi/en/aalto-science-institute-asci/aalto-science-institute-international-summer-research-programme,
CMMRS / MPI-SWS,Research school,Undergrad / grad,MPI-SWS,Computer Science research,"Saarbrücken, Alemanha",Presencial,~1 semana,Fechado,14/2/2027,Próxima edição N/A,Sim / seleção competitiva,Muito seletivo; formato pode envolver invitation/application,Support depende da edição,Application/nomination conforme edição,Média,Aguardar call futura,https://cmmrs.mpi-sws.org/,
ETH Direct Doctorate in Computer Science,Graduate program,Direct Doctorate,ETH Zürich – D-INFK,CS / ML / AI / systems / theory etc.,"Zürich, Suíça",Presencial,~5–6 anos total,01/11/2026,30/11/2026,Fall 2027,Sim em princípio,Bachelor excelente; admissão extremamente seletiva,Funding na fase inicial + depois salário de PhD,"Transcript, CV, SoP, recommendations, requisitos ETH",Muito alta,Confirmar deadline final quando portal Fall 2027 abrir,https://inf.ethz.ch/doctorate/direct-doctorate-computer-science.html,
EPFL EDIC – Computer & Communication Sciences PhD,Graduate program,PhD / possível entrada com Bachelor longo,EPFL,"Computer Science, AI/ML, systems, theory, security etc.","Lausanne, Suíça",Presencial,~4–5 anos,01/09/2026,01/12/2026,2027 intake,Provavelmente,Pode aceitar Bachelor equivalente forte; equivalência precisa ser avaliada,PhD salaried / funded,"Academic dossier, research interests, referees",Muito alta,Não é formalmente chamado de Direct Doctorate,https://www.epfl.ch/education/phd/edic-computer-and-communication-sciences/,
CS@Max Planck,Graduate program,Direct PhD route,Max Planck Computer Science,CS amplo; vários Max Planck institutes/groups,Alemanha,Presencial,Preparatory phase + PhD,N/A,N/A,2027,Sim,Bachelor route possível para candidatos excelentes,Fully funded,"Academic record, CV, research statement, referências",Muito alta,Manter separado de MPI genérico,https://www.cis.mpg.de/csmaxplanck-overview/,
Saarbrücken Graduate School of Computer Science,Graduate program,Direct PhD,Saarland University + MPI + CISPA ecosystem,CS / ML / AI / security / systems / theory,"Saarbrücken, Alemanha",Presencial,Preparatory phase + PhD,N/A,31/10/2026,2027,Sim,Excellent Bachelor graduates aceitos; forte histórico acadêmico,Funded preparatory phase + funded PhD,"CV, transcripts, statement, recommendations",Muito alta,Boa rota Bachelor → PhD,,
IMPRS-TRUST,Graduate program,PhD / Bachelor route possível,Max Planck + parceiros,"Trustworthy Computing, security, privacy, systems, AI","Saarbrücken / Kaiserslautern, Alemanha",Presencial,Preparatory/orientation + PhD,N/A,N/A,2027,Sim em princípio,Aceita perfis Bachelor/Master conforme trajetória; forte academic/research background,Fully funded,"Dossier acadêmico, research fit, referências",Muito alta,Muito alinhado a trustworthy AI / safety,,
MPI-SWS Doctoral Program,Graduate program,PhD,Max Planck Institute for Software Systems,"Systems, ML, security, privacy, socio-technical computing",Saarbrücken / Kaiserslautern,Presencial,PhD,N/A,N/A,2027,Sim / depende da rota,Depende da degree equivalence e faculty fit,Fully funded,Research fit com faculty é central,Alta,Pode sobrepor com Saarland/CS@MaxPlanck,,
ETH MSc Computer Science,Graduate program,Master,ETH Zürich,"CS; Machine Intelligence, Secure & Reliable Systems etc.","Zürich, Suíça",Presencial,2 anos / 120 ECTS,01/11/2026,30/11/2026,Fall 2027,Sim,Bachelor relevante e excelente histórico; requisitos curriculares,Possível ESOP; caso contrário funding próprio,"CV, transcripts, motivation, references/requisitos específicos",Alta,Boa alternativa ao Direct Doctorate,,
EPFL MSc Computer Science,Graduate program,Master,EPFL,Computer Science / AI / data / systems etc.,"Lausanne, Suíça",Presencial,~2 anos,15/11/2026,15/12/2026,Fall 2027,Sim,Bachelor relacionado; seleção acadêmica competitiva,Excellence Fellowships possíveis,"CV, transcripts, SoP, 3 referees",Alta,Segunda janela costuma existir até 31/03/2027,,
Saarland University MSc Computer Science,Graduate program,Master,Saarland University / Saarland Informatics Campus,"CS, AI/ML, security, systems etc.","Saarbrücken, Alemanha",Presencial,~2 anos,N/A,N/A,2027,Sim,Bachelor CS ou equivalente,Tuition baixa/sem tuition tradicional; living funding separado,Application acadêmica + language/degree requirements,Alta,Melhor representação do antigo “MPI Master”,,
RPTU MSc Computer Science,Graduate program,Master,RPTU Kaiserslautern-Landau,CS / conexão ao ecossistema MPI-SWS,"Kaiserslautern, Alemanha",Presencial,~2 anos,N/A,N/A,2027,Sim,Bachelor relevante; regras específicas para internacionais,Varia,Academic application,Média,Alternativa dentro do ecossistema MPI-SWS,,
